C_p_avg,C_n_avg,δ_SEI_nm,c_f_Ah,P_kW,ΔC_p_avg,ΔC_n_avg,Δδ_SEI_pm,Δc_f_μAh
2898.0000000000005,12381.6,37.1,32.8,43.8,-13.174863884261747,37.5144918602788,4.617536238294028e-7,3.266156459096226e-6
6727.5,14150.4,22.400000000000002,24.3,6.5,-14.467705874880771,41.19576786888744,4.4082965936170604e-7,3.118153415548232e-6
6624.0,21225.6,4.6,44.3,-4.5,-15.235718592218884,43.38262969046922,1.1647470870308284e-7,8.238692725289261e-7
5071.5,19162.0,38.2,39.4,-44.9,-14.16769211137276,40.34149992441459,6.397505556948187e-8,4.5251954762460467e-7
4864.5,13266.0,47.199999999999996,16.7,-43.4,-13.923153801053523,39.64519440409047,2.3747925012343574e-7,1.6797797497709593e-6
6313.5,20046.4,5.0,25.7,42.0,-15.537769153843495,44.242697273342635,1.6085401282902586e-7,1.1377807251755808e-6
5692.500000000001,22110.0,9.2,25.0,-15.5,-15.227387790135134,43.35890832153657,7.485073471124584e-8,5.294473026930828e-7
2070.0,18867.2,9.0,37.0,-10.6,-13.300733248267539,37.872895960159134,2.0652912819150046e-7,1.460857936403332e-6
7659.0,12086.8,38.800000000000004,21.8,-6.6,-12.882378605836339,36.68166074392036,4.849135826327088e-7,3.429975528691158e-6
4036.5,14445.199999999999,6.800000000000001,1.4,37.7,-15.696235860170237,44.69391999691816,7.051016914224928e-7,4.9874485546216185e-6
4864.5,17688.0,25.6,49.4,48.2,-14.739381527169202,41.96934504858465,1.4696817006972027e-7,1.0395609545494673e-6
4450.5,22110.0,42.300000000000004,40.1,26.1,-13.754138836970357,39.16393626358885,2.4439856797944893e-8,1.728722678514074e-7
7762.5,19162.0,4.7,31.6,-44.0,-14.341230329559442,40.83563771064297,2.1522286800243902e-7,1.5223520167349892e-6
2173.5,11497.2,11.700000000000001,8.5,-13.2,-13.410676893794646,38.18595270453175,1.350318755231708e-6,9.551310691755928e-6
6727.5,12381.6,19.8,5.9,-46.1,-14.583518547423033,41.525536252031266,7.629175972494092e-7,5.396402127501099e-6
7141.499999999999,23289.2,42.8,13.2,38.6,-12.922045761625593,36.79461016076639,1.8575098292962052e-8,1.3138863267550626e-7
6934.5,12381.6,33.8,8.7,-38.5,-13.773662415470717,39.219528270693466,4.878749014155832e-7,3.4509220464248264e-6
6727.5,12086.8,18.8,34.6,28.4,-14.630747663837388,41.6600178162477,8.51513409219136e-7,6.023073513670244e-6
6003.0,5896.0,41.6,32.0,40.2,-13.69156351965395,38.985757479151,1.782522069135255e-6,1.2608446732490939e-5
2898.0000000000005,21225.6,35.4,46.7,24.7,-13.023079497817763,37.08229656931866,4.359195731096022e-8,3.0834225350539326e-7
5278.5,19751.600000000002,25.2,21.5,18.5,-14.672145471666221,41.777895142222384,8.346978794162681e-8,5.90413096845905e-7
2794.5,20341.199999999997,30.9,8.6,0.2,-13.138226252655945,37.41016879897169,6.497539466455694e-8,4.595953209982275e-7
4657.5,20930.8,39.8,46.3,-38.2,-13.966706056778097,39.769206367884514,3.697277966230056e-8,2.615223289495603e-7
3001.5,7075.2,26.500000000000004,36.6,-30.8,-13.430406454306505,38.24213123083142,2.357581204881061e-6,1.667605554734321e-5
7866.0,22994.4,7.4,32.1,44.4,-13.526764527295798,38.51650401955396,6.452570975736958e-8,4.5641453109562205e-7
6417.0,10612.8,21.200000000000003,35.8,-8.4,-14.63811593910784,41.680998458255424,1.1258234707592959e-6,7.963371397776264e-6
7244.999999999999,20636.0,4.7,4.8,-48.8,-14.786724233784636,42.10415005283877,1.3925712121964345e-7,9.850178157231438e-7
3622.4999999999995,18572.4,43.300000000000004,18.3,8.0,-13.50686483814065,38.45984106398772,6.802536477715958e-8,4.811689028159805e-7
4554.0,17982.8,32.6,19.5,-4.1,-14.354907751885873,40.874583202059426,1.0761253947566192e-7,7.611838278025874e-7
3726.0,19456.8,11.700000000000001,33.3,-3.3,-14.959630797115631,42.59648924659256,1.4931264244027553e-7,1.0561442863980782e-6
2484.0,10318.0,19.7,2.4,4.2,-13.371751834532336,38.07511635497407,1.3782387276819945e-6,9.748799122057849e-6
2070.0,8254.400000000001,6.9,41.0,23.7,-13.279135030517038,37.81139656471575,3.525723167720254e-6,2.4938761501716337e-5
5485.5,8549.199999999999,32.0,10.8,0.9,-14.341296486489256,40.835826087800584,1.2724600448584863e-6,9.000586849735031e-6
3415.5,15034.800000000001,7.1,39.1,45.3,-15.253193729045389,43.43238890499521,6.024049819739712e-7,4.261036235187085e-6
3726.0,7075.2,40.800000000000004,14.9,-20.2,-13.503028241852563,38.448916627762394,1.4292958585029299e-6,1.0109945345948296e-5
5796.000000000001,16214.000000000002,46.1,42.4,-45.6,-13.89281732451899,39.55881343560374,1.132087253359663e-7,8.007677479943845e-7
6003.0,17393.2,45.1,25.7,-46.6,-13.843582931441611,39.4186219881107,8.532590039066398e-8,6.035420759191075e-7
2070.0,20341.199999999997,22.8,14.6,15.6,-12.483169901972373,35.544942231815654,8.919127959345544e-8,6.308833518691537e-7
7348.5,12086.8,42.5,12.9,-46.4,-13.081675303382834,37.24914397589159,4.1928744144920436e-7,2.9657772336470137e-6
3312.0,5896.0,23.400000000000002,17.7,-3.8,-13.71956739211914,39.065496522737064,3.370239933309106e-6,2.383897030540346e-5
5175.0,9138.8,47.6,23.0,24.7,-13.837989512656423,39.402695124259026,6.64430971066227e-7,4.699769305055423e-6
7348.5,18867.2,24.300000000000004,37.0,-21.4,-13.729576203697986,39.093995904895266,1.1891366018568623e-7,8.411208905503809e-7
5485.5,15329.6,46.800000000000004,30.8,-37.4,-13.937252567455758,39.68533964293843,1.394744911038895e-7,9.865553543905299e-7
7038.000000000001,16214.000000000002,1.5,10.3,-41.3,-15.584003141447127,44.37434527871047,5.432118401105652e-7,3.842340955596186e-6
7348.5,21520.399999999998,25.3,11.7,-2.4,-13.490226365692752,38.41246419202638,5.4084390857076166e-8,3.8255916882503503e-7
3312.0,10023.2,10.299999999999999,8.7,-39.3,-14.798674247196615,42.13817686971417,1.9489976021238674e-6,1.378599057685312e-5
6934.5,13855.599999999999,4.2,29.0,26.2,-15.48305921958068,44.08691461009898,9.180870084279938e-7,6.493973534460615e-6
6520.5,15329.6,48.0,28.8,-43.6,-13.544179159353996,38.56609095101435,1.4068362422343043e-7,9.951080061608486e-7
3622.4999999999995,6190.8,18.5,34.2,-18.3,-14.212970260798796,40.47042624827531,3.646189612898201e-6,2.5790865822542804e-5
5692.500000000001,22994.4,29.0,47.4,16.5,-14.179019144664162,40.37375284951921,2.8894747349552786e-8,2.0438337853643492e-7
5485.5,15919.2,35.800000000000004,1.1,-21.0,-14.334679854130222,40.8169856957664,1.6937361565508617e-7,1.1980430693419405e-6
4761.0,16508.800000000003,16.2,21.4,39.1,-15.269601439924864,43.47910869972521,2.829382097213097e-7,2.0013280102546617e-6
2380.5,21225.6,38.0,30.4,26.7,-12.313363147507436,35.06142952426035,4.309590801733853e-8,3.0483351091891125e-7
3001.5,15919.2,4.0,40.4,23.2,-15.078964011289658,42.93628212271056,5.375841151235223e-7,3.80253394733925e-6
8280.0,19162.0,41.0,29.3,-19.6,-11.88340256602871,33.83714721852435,7.491037153598327e-8,5.298691363079461e-7
2587.5,13266.0,10.0,36.5,42.5,-14.170810572982923,40.35037952299376,8.885881945031904e-7,6.285317366616937e-6
7969.5,15329.6,11.9,30.8,-30.7,-13.771452882958448,39.21323678335931,4.884521397602935e-7,3.4550050696015107e-6
4761.0,11497.2,0.5,44.2,4.8,-16.41187349765102,46.7316474878343,1.933062752193469e-6,1.3673277410482543e-5
4450.5,9433.6,48.0,3.7,-9.4,-13.72819197920881,39.090054423688464,6.188435089784007e-7,4.377312098294078e-6
2484.0,19456.8,32.7,11.7,46.0,-12.7488270348343,36.30138210366432,8.184868639017487e-8,5.789464379397651e-7
3105.0,20046.4,22.700000000000003,8.9,-18.4,-13.826506008716771,39.369996660065674,8.910192217436264e-8,6.30251293350332e-7
3933.0,20341.199999999997,30.3,16.7,46.5,-14.08631196986922,40.10977573485765,6.10913329618443e-8,4.321218967235323e-7
3622.4999999999995,7370.0,11.799999999999999,7.0,2.5,-14.70688511247252,41.87681380912966,3.482890130411568e-6,2.4635787373850778e-5
6831.0,7959.6,3.0,1.9,32.7,-15.281153259098117,43.51200168670725,4.191430598362117e-6,2.964755968380182e-5
2070.0,20341.199999999997,44.199999999999996,26.1,32.0,-11.72111507310204,33.37504507568488,4.93468009806793e-8,3.490484198524198e-7
7659.0,9433.6,10.9,23.1,-2.5,-14.067364958011037,40.055825460431635,2.256640856967722e-6,1.5962066631378845e-5
6934.5,9138.8,22.400000000000002,43.5,-37.1,-14.151608773902856,40.295703759995746,1.5918613773667762e-6,1.1259832194826928e-5
8280.0,5896.0,6.0,47.5,-48.7,-12.992738048367933,36.99590144080942,6.315740687795017e-6,4.467360119525501e-5
6831.0,14740.0,11.700000000000001,43.9,18.1,-15.018382001786398,42.763779141096286,5.492726955718481e-7,3.885211658046441e-6
3622.4999999999995,22110.0,2.1,11.1,3.9,-15.197941576954,43.27506231489427,9.879848542641781e-8,6.988387197663638e-7
3105.0,12971.2,38.4,24.0,-0.1,-13.337897508640404,37.978718559578276,3.733600601506593e-7,2.6409156508973376e-6
4036.5,9138.8,40.6,25.5,11.8,-13.798110818389777,39.289143366567664,8.555085527397934e-7,6.051332661279734e-6
4554.0,20341.199999999997,16.7,26.5,41.4,-14.97374326772572,42.63667350720796,9.537547094823985e-8,6.746264553237756e-7
3105.0,21815.2,47.6,40.4,5.7,-12.806430556054217,36.465404050830884,2.506041467614646e-8,1.772617063258089e-7
3415.5,15329.6,46.0,12.1,39.9,-13.334773658729867,37.96982361819279,1.5482950465849624e-7,1.0951671207367703e-6
6313.5,16214.000000000002,46.7,41.7,4.8,-13.685133206985943,38.96744761921421,1.1379636760491946e-7,8.049243620269111e-7
2794.5,11202.4,21.200000000000003,46.2,-0.9,-13.721171952219816,39.07006539398786,1.0288528023082523e-6,7.2774615125919764e-6
6624.0,7959.6,21.8,32.4,28.4,-14.31418368562009,40.75862430748429,2.1326460992120976e-6,1.5085005233183457e-5
5278.5,15624.400000000001,5.4,7.9,28.4,-16.080733935944696,45.788751037332645,5.396140251718863e-7,3.816892261976533e-6
6313.5,17393.2,44.00000000000001,40.7,34.0,-13.754213956623579,39.164150161484386,8.968790036380682e-8,6.343961367247497e-7
4450.5,7959.6,12.2,26.2,7.0,-15.17354978493821,43.20560841456088,2.935122016060042e-6,2.076121818273342e-5
5692.500000000001,21815.2,10.299999999999999,17.7,21.8,-15.202912444689009,43.28921650873088,7.836672156011115e-8,5.543171955621024e-7
5692.500000000001,14150.4,21.900000000000002,44.6,47.5,-14.956840531772833,42.58854416363545,4.3524592733026077e-7,3.078657585955987e-6
3519.0000000000005,6780.400000000001,30.099999999999998,42.8,36.1,-13.712633810135904,39.04575363907773,2.1771914462222167e-6,1.540009116938725e-5
4450.5,23584.0,4.8,41.1,-32.9,-15.175920172987091,43.212357926653176,5.697513851590098e-8,4.030065105463341e-7
6934.5,23584.0,27.5,18.9,15.3,-13.546704228636793,38.57328090696799,2.6819320763732196e-8,1.8970310836889128e-7
5175.0,23289.2,34.7,10.9,41.5,-14.003752879218126,39.874694571100044,2.184878104889509e-8,1.5454461787308638e-7
7141.499999999999,21520.399999999998,25.2,16.9,18.0,-13.691238360047628,38.98483161018851,5.347677136524871e-8,3.782612484071149e-7
3622.4999999999995,13855.599999999999,21.8,36.0,-33.9,-14.495905647279043,41.276064723659346,4.861704074629247e-7,3.438865521807224e-6
5071.5,20930.8,9.9,36.6,13.4,-15.393528630050833,43.831982597008945,1.0272882946631982e-7,7.266395163598715e-7
6313.5,13855.599999999999,6.2,17.8,33.7,-15.743070149253112,44.82727731825857,8.428143362248034e-7,5.96154170973342e-6
6831.0,17982.8,38.7,18.0,8.7,-13.618055958445815,38.77644990444901,9.306535996642624e-8,6.582861744573124e-7
3622.4999999999995,11792.0,41.4,39.3,35.7,-13.619048629559275,38.7792764651386,4.409978115895544e-7,3.1193428192838072e-6
3105.0,22699.600000000002,6.2,13.2,-30.3,-14.38266592618441,40.953622637536974,7.198666361474054e-8,5.09188654296167e-7
5589.0,7664.8,41.3,16.0,23.0,-13.933882295872694,39.67574303329044,1.166446334829765e-6,8.250712141895188e-6
2898.0000000000005,7075.2,39.1,26.2,-15.4,-12.869200467789435,36.64413692910084,1.6224329359424847e-6,1.1476076287680178e-5
3001.5,17982.8,26.2,26.8,-38.5,-13.682473783100047,38.95987509805332,1.4328486279231632e-7,1.0135075415731705e-6
3933.0,12381.6,17.0,27.9,18.1,-14.931758195429621,42.51712398723024,8.321486042280434e-7,5.8860989895154245e-6
4761.0,5896.0,32.5,47.7,-11.0,-14.09789497402362,40.14275751888395,2.3651747150904742e-6,1.6729767291307458e-5
6934.5,18867.2,8.3,23.4,-25.4,-14.99986789160932,42.71106152355032,2.0109673538793205e-7,1.4224325858958975e-6
6727.5,17688.0,34.50000000000001,13.9,38.8,-13.859216495257284,39.46313745390157,1.1432778542256755e-7,8.086832794409115e-7
4554.0,22994.4,28.000000000000004,8.6,24.8,-14.19083692836114,40.40740315164626,2.993579460112065e-8,2.1174709595944965e-7
5899.499999999999,16214.000000000002,5.4,30.8,15.2,-15.949295498081264,45.414489394065704,4.611245773438053e-7,3.261706977519954e-6
3415.5,8549.199999999999,47.199999999999996,19.0,15.0,-13.171626450009589,37.505273495519745,8.452933851967579e-7,5.979076952326679e-6
4347.0,6780.400000000001,37.0,40.4,-48.7,-13.909665442411246,39.60678725811887,1.6743643732822179e-6,1.1843406809291818e-5
6831.0,18572.4,18.1,33.6,21.1,-14.507501537076129,41.309083198629416,1.54102614263823e-7,1.0900255525170608e-6
8280.0,11497.2,7.6000000000000005,12.0,-23.5,-13.498215955115732,38.43521398209423,1.5510610446680619e-6,1.0971236148580383e-5
3208.5,18277.6,35.1,43.3,-9.7,-13.493738645685504,38.422465160577524,9.833240825658818e-8,6.955419812458259e-7
6624.0,12971.2,45.2,5.9,5.1,-13.57296201398617,38.648048091159026,2.8743200963867264e-7,2.0331143414679585e-6
2794.5,22404.8,20.8,19.7,4.9,-13.35953424082724,38.04032762215682,4.893871055975884e-8,3.461618433419188e-7
6417.0,9728.4,32.0,43.2,-22.3,-14.098523489076808,40.1445471709693,9.787939781098164e-7,6.923376685634796e-6
5589.0,14445.199999999999,9.1,25.8,-31.4,-15.776604532218007,44.9227640988134,6.411629243319241e-7,4.53518568901027e-6
2691.0,22110.0,31.900000000000002,34.1,-40.0,-12.84106129011494,36.56401261351054,3.830996177820292e-8,2.709807192673719e-7
6727.5,14740.0,23.7,5.6,-13.2,-14.400314087533632,41.00387452713172,3.610500811824634e-7,2.553842555542127e-6
4761.0,20341.199999999997,21.0,38.3,-43.0,-14.796627840393525,42.132349871264346,8.176300178401309e-8,5.783403586034746e-7
4554.0,16214.000000000002,28.700000000000003,25.3,-13.6,-14.574366039467794,41.499475133823275,1.989959243674767e-7,1.4075727621074095e-6
7969.5,17688.0,37.1,37.1,5.3,-12.527567685842202,35.671361777110256,1.1962880286126492e-7,8.461793627495718e-7
4140.0,23584.0,36.8,16.6,-36.7,-13.67840756962276,38.94829684314117,1.9154225118617488e-8,1.3548501378576956e-7
2070.0,11792.0,6.2,1.0,-4.5,-13.599730811670463,38.72427034679533,1.5079014449781873e-6,1.066595212258826e-5
4243.5,14445.199999999999,49.300000000000004,0.5,42.0,-13.700128079764045,39.0101444575221,1.6669395410230098e-7,1.179088818769443e-6
5278.5,11497.2,20.3,28.2,-16.8,-15.05073246346175,42.85589478965067,9.112478540045392e-7,6.44559763172341e-6
5485.5,14150.4,36.7,28.7,-49.3,-14.309655779117074,40.74573141437525,2.6358622086209334e-7,1.8644441394044364e-6
7348.5,12676.4,18.0,47.3,-5.4,-14.161029236325664,40.3225278595752,7.740732817596612e-7,5.475310465494481e-6
6210.0,15624.400000000001,8.9,35.9,-25.9,-15.577744428455274,44.35652403672841,4.7441502005170736e-7,3.3557152604104427e-6
7762.5,20636.0,41.4,26.2,-48.7,-12.514098490238156,35.63300919652416,4.497297567841214e-8,3.181107140614279e-7
3415.5,9433.6,19.2,10.8,-11.7,-14.328940222731232,40.80064250183036,1.6483764087808747e-6,1.1659584195381623e-5
2173.5,20046.4,26.2,6.7,-15.4,-12.527474544405809,35.67109656346253,8.684777110919097e-8,6.14306837949568e-7
4864.5,14740.0,20.1,27.2,36.5,-15.08990616100771,42.967439119117046,3.9580822829834086e-7,2.799699958386641e-6
8280.0,18867.2,49.4,12.4,-38.1,-11.64015102397968,33.144505679742,6.518360599299996e-8,4.610680777675438e-7
6727.5,20636.0,7.000000000000001,31.7,-39.1,-15.075958098223014,42.92772299814006,1.2665016204930806e-7,8.958440680819863e-7
3208.5,12086.8,30.9,28.2,20.5,-13.715237679327513,39.05316797219392,5.855836635651826e-7,4.142052744996487e-6
2277.0,9138.8,21.5,1.6,28.3,-12.920436711511016,36.79002850452509,1.7757620565015945e-6,1.2560630629297433e-5
3622.4999999999995,8254.400000000001,7.6000000000000005,39.2,-41.2,-15.068416550799324,42.90624897594387,3.2831074944227586e-6,2.322264990556488e-5
2277.0,13855.599999999999,46.5,24.5,-48.2,-12.109897634499847,34.4820758855046,2.6287131695642183e-7,1.8593873561142965e-6
8280.0,15034.800000000001,23.400000000000002,17.1,48.6,-12.686120348122204,36.12282925416299,3.791512776242685e-7,2.6818791027931645e-6
2794.5,18867.2,28.900000000000002,34.1,32.6,-13.305379671598992,37.88612632152973,1.0474233211220922e-7,7.408817752895138e-7
6624.0,7959.6,44.800000000000004,11.5,7.7,-13.432590015335307,38.24834876622113,1.020991003325046e-6,7.221852061568799e-6
7555.5,22404.8,0.5,34.2,17.8,-14.458206005353041,41.168717663195594,9.698985037959863e-8,6.860455661548639e-7
3622.4999999999995,20930.8,18.6,5.6,-31.1,-14.375063776666225,40.93197605516929,7.71862620642718e-8,5.459673630798746e-7
5382.0,16214.000000000002,21.900000000000002,38.5,-28.9,-14.982764689381856,42.66236136645127,2.499136789542785e-7,1.7677331256518474e-6
8176.5,12086.8,36.5,35.1,-43.6,-12.281358938570953,34.970299805862,5.559649752058366e-7,3.9325486603451074e-6
4761.0,20046.4,41.5,49.2,38.2,-13.977476711419687,39.79987504417694,4.497162925951337e-8,3.181011903358827e-7
5175.0,13855.599999999999,25.8,0.2,16.7,-14.811617592245403,42.17503212807988,4.093492486591727e-7,2.8954806709395857e-6
5589.0,8549.199999999999,12.0,18.5,-32.1,-15.321853352339494,43.62789231980949,2.557820394607334e-6,1.809242239134288e-5
5589.0,10023.2,41.3,31.5,-3.3,-14.04459340804705,39.99098508460715,6.547876297469516e-7,4.631558337318964e-6
4864.5,22699.600000000002,12.500000000000002,15.0,-48.4,-14.9899657995771,42.682866017747976,5.5660989165524476e-8,3.937110396123905e-7
2070.0,6485.6,12.4,38.2,-20.5,-12.752378150366894,36.31149365366231,4.50418242150472e-6,3.18597705567342e-5
7659.0,13855.599999999999,26.3,9.8,-1.6,-13.41658311309472,38.20277024569916,4.46084245543936e-7,3.155321073176207e-6
8073.0,23289.2,5.6000000000000005,18.6,-48.9,-13.263672182691076,37.76736720061877,6.319137953591973e-8,4.4697631329624005e-7
6624.0,11202.4,2.2,34.5,43.2,-15.798281314544589,44.984487201325095,1.9535020628300877e-6,1.3817852315821958e-5
3726.0,22699.600000000002,7.1,33.7,-34.8,-14.845773076464825,42.272287450497174,6.876624916380194e-8,4.864094557862144e-7
2070.0,18572.4,38.7,23.9,18.3,-11.980898974691668,34.11476133744934,9.400944159471191e-8,6.649640176815132e-7
7348.5,18867.2,34.7,12.6,-14.1,-13.294681322100748,37.85566352900455,8.603091740959808e-8,6.085289255534811e-7
7762.5,8549.199999999999,9.3,26.6,-21.1,-13.952626676886513,39.729116330743,2.9670146492224493e-6,2.0986806731312885e-5
7555.5,22404.8,31.8,18.6,-12.8,-12.938245875020243,36.840738836355044,3.4880735758398776e-8,2.4672451826260785e-7
3312.0,11497.2,5.8,41.7,42.5,-15.199782019757011,43.28030284542742,1.5891590745647168e-6,1.1240717794211761e-5
6313.5,18867.2,27.400000000000002,13.3,-19.7,-14.35030246957381,40.861469986840646,1.0153806850829567e-7,7.182168177743437e-7
3519.0000000000005,8844.0,39.5,2.9,18.2,-13.512115165460882,38.47479099919935,9.847651211079955e-7,6.965612818206861e-6
6624.0,10612.8,35.1,21.7,10.2,-13.89065594805916,39.55265906920922,7.186733448039338e-7,5.083445946011416e-6
4761.0,12086.8,3.5000000000000004,24.7,34.7,-16.17559239626116,46.05885378516576,1.473427909557414e-6,1.0422107884943383e-5
3312.0,18572.4,42.699999999999996,25.1,20.5,-13.297458377816229,37.863570998470394,7.118925587535094e-8,5.0354829046547e-7
6934.5,12086.8,31.900000000000002,35.7,3.9,-13.846411686669356,39.42667666831023,5.587656135865812e-7,3.952358625367149e-6
6727.5,16214.000000000002,39.6,7.8,23.2,-13.69825763483002,39.00481849803465,1.4577524424666023e-7,1.031122943062091e-6
2898.0000000000005,12676.4,35.1,13.0,-23.1,-13.256662813010312,37.74740851685313,4.5447934331439087e-7,3.2147027464164055e-6
5175.0,13855.599999999999,0.0,35.5,46.4,-16.572093122207743,47.18786152194514,1.0754678406633479e-6,7.607187151455103e-6
6520.5,11792.0,4.2,12.0,39.4,-15.731391312258477,44.79402265700912,1.554995583904936e-6,1.0999066619374545e-5
7348.5,22110.0,28.900000000000002,22.6,46.9,-13.291587998464179,37.84685550902682,4.073499250154663e-8,2.8813387054070574e-7
6831.0,23289.2,40.1,11.7,-5.4,-13.248678050997217,37.72467247249953,1.9584416847712657e-8,1.3852792113315852e-7
7555.5,21815.2,19.6,31.5,-41.1,-13.484328058784232,38.395669180826395,6.037039352167008e-8,4.2702242183557303e-7
